ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0312924801,September,Rosamunde Pilcher,1991,St. Martin's Press
0316693251,Roses Are Red,James Patterson,2000,Little Brown and Company
0679735909,Possession : A Romance,A.S. BYATT,1991,Vintage
0449221490,L Is for Lawless,Sue Grafton,1996,Fawcett Books
042513699X,Turtle Moon,Alice Hoffman,1993,Berkley Publishing Group
0345387651,The Cider House Rules,John Irving,1994,Ballantine Books
0679444815,Timeline,Michael Crichton,1999,Alfred A. Knopf
0060921145,Animal Dreams,Barbara Kingsolver,1991,Perennial
0425121259,The Servants of Twilight,Dean R. Koontz,1996,Berkley Publishing Group
0743467523,Dreamcatcher,Stephen King,2003,Pocket
0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books
0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books
0345427637,The Angel of Darkness,Caleb Carr,1998,Ballantine Books
0553213105,Pride and Prejudice,Jane Austen,1981,Bantam
0671042572,Jewel (Oprah's Book Club),Bret Lott,1999,Pocket
0451209907,Quentins,Maeve Binchy,2003,Signet Book
0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books
1400031362,Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
0449223612,N Is for Noose,Sue Grafton,1999,Fawcett Books
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf
1565122968,Gap Creek: A Novel,Robert Morgan,2000,Algonquin Books of Chapel Hill
0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA
034543479X,A Widow for One Year,JOHN IRVING,2001,Fawcett
0375705198,Amy and Isabelle : A novel,ELIZABETH STROUT,2000,Vintage
0439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks
0671670689,Dawn (Cutler),V.C. Andrews,1990,Pocket
0446605581,Fat Tuesday,Sandra Brown,1998,Warner Vision
0671011375,Death du Jour,Kathy Reichs,2000,Pocket
0399146253,The Last Precinct,Patricia Daniels Cornwell,2000,Putnam Publishing Group
0553574663,The Grilling Season,Diane Mott Davidson,1998,Bantam Books
0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam
0425083837,The Hunt for Red October,Tom Clancy,1985,Berkley Publishing Group
0553292722,Still Waters,TAMI HOAG,1992,Bantam
0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
0440224705,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell
0312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks
1400031346,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK)
0316781142,The Last Time They Met : A Novel,Anita Shreve,2001,"Little, Brown"
0425147584,Debt of Honor (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
0670865796,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),Jacquelyn Mitchard,1996,Penguin USA
0425192725,Q Is for Quarry,Sue Grafton,2003,Berkley Publishing Group
0375412530,Back When We Were Grownups: A Novel,ANNE TYLER,2001,Knopf
0553569031,Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994,Bantam
031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
0345435168,Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,2001,Ballantine Books
0380730847,The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,Avon
0440221595,The Glass Lake,Maeve Binchy,1996,Dell
0671038443,The Devil's Teardrop,Jeffery Deaver,2000,Pocket
0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell
0316899984,"River, Cross My Heart",Breena Clarke,1999,Little Brown &amp; Company
014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest
0553583980,True Blue,Luanne Rice,2002,Bantam Books
0515121843,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
0312952716,A Simple Plan,Scott Smith,1994,St. Martin's Press
0399147195,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group
0743206029,On the Street Where You Live : A Novel,Mary Higgins Clark,2001,Simon &amp; Schuster
0316780375,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,1998,Back Bay Books
0743436210,Hearts in Atlantis,Stephen King,2001,Pocket
0440236738,Gone for Good,HARLAN COBEN,2003,Dell
0804105820,It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books
0446604844,Total Control,David Baldacci,1997,Warner Books
0380817691,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon
0553582526,Dust to Dust,TAMI HOAG,2002,Bantam
0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam
0553578316,Sticks &amp; Scones,Diane Mott Davidson,2002,Bantam Books
0446365386,Gone with the Wind,Margaret Mitchell,1993,Warner Books
0671727796,The Color Purple,Alice Walker,1990,Pocket
0373218036,"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette
0553572326,Survival of the Fittest: An Alex Delaware Novel,Jonathan Kellerman,1998,Bantam
0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
0743235150,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Scribner
0140177396,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books
0451186923,The Deep End of the Ocean,Jacquelyn Mitchard,1997,New Amer Library
0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
0812570944,What Dreams May Come : A Novel,Richard Matheson,1998,Tor Books
0451176464,Gerald's Game,Stephen King,2001,Signet Book
0671894455,FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket
0451186362,Rose Madder,Stephen King,2004,Signet Book
0446607657,When the Wind Blows,James Patterson,1999,Warner Vision
0345354613,Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books
0441569595,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
0425147363,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
0380820293,Last Chance Saloon,Marian Keyes,2002,Avon
0553580930,A Man in Full,Tom Wolfe,1999,Bantam
0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
0312980140,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks
0440217563,Voyager,DIANA GABALDON,1994,Dell
0446611778,Last Man Standing,David Baldacci,2002,Warner Vision
014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
0440207622,Daddy,DANIELLE STEEL,1990,Dell
0375506039,Open House,Elizabeth Berg,2000,Random House Trade
0316788228,The Pilot's Wife,Anita Shreve,2001,"Little, Brown"
0441172717,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
0743417682,From a Buick 8,Stephen King,2003,Pocket Books
0345441036,Black House,Stephen King,2002,Ballantine Books
0553571885,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam
034538430X,TickTock,Dean R. Koontz,1997,Ballantine Books
0553576801,The Perfect Husband,LISA GARDNER,1997,Bantam
0373484410,Time And Again,Nora Roberts,2001,Silhouette
0553578022,The Face of Deception,Iris Johansen,1999,Bantam Books
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books
0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone
0553275976,The Bonfire of the Vanities,Tom Wolfe,1988,Bantam Books
0140092323,Lake Wobegon days,Garrison Keillor,1986,Penguin Books
0553582127,The Search,Iris Johansen,2001,Bantam Books
0553578308,Tough Cookie,Diane Mott Davidson,2001,Bantam Books
0425192733,Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Patricia Cornwell,2003,Berkley Publishing Group
0767915054,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,2002,Broadway Books
0452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books
0446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever
0425132951,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group
0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book
0525946829,Quentins,Maeve Binchy,2002,Dutton Books
0312986343,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004,St. Martin's Paperbacks
0446530077,Find Me,Rosie O'Donnell,2002,Warner Books
0451170385,Four Past Midnight,Stephen King,2001,Signet Book
0425151875,Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,1996,Berkley Publishing Group
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers
0671727583,Smart Women,Judy Blume,1990,Pocket Books
0440212561,Outlander,DIANA GABALDON,1992,Dell
0515133302,Hemlock Bay,Catherine Coulter,2002,Jove Books
0684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner
042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
0312966806,Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press
0688177859,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000,Perennial
0553573136,Couplehood,PAUL REISER,1995,Bantam
0451204530,Code to Zero,Ken Follett,2001,Signet Book
0446603716,Hide &amp; Seek,James Patterson,1996,Warner Books
0743460529,Daddy's Little Girl,Mary Higgins Clark,2003,Pocket
0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin
0671880314,Schindler's List,Thomas Keneally,1993,Touchstone
038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
0345452569,A Cold Heart (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2003,Ballantine Books
0385502532,Drowning Ruth,Christina Schwarz,2000,Doubleday
0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam
0373218397,Summer Pleasures,Nora Roberts,2002,Silhouette
0425179885,The Devil's Code,John Sandford,2004,Berkley Publishing Group
0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books
076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002,Broadway
0446360589,The Burden of Proof,Scott Turow,1991,Warner Books
0553580221,False Memory,Dean R. Koontz,2000,Bantam Books
0345368754,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books
0446603929,See How They Run,James Patterson,1997,Warner Books
0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
0312306326,Visions of Sugar Plums,Janet Evanovich,2002,St. Martin's Press
0451169522,Misery,Stephen King,2004,Penguin USA (Paper)
0140179836,The Liar's Club: A Memoir,Mary Karr,1998,Penguin USA (Paper)
044022103X,One True Thing,Anna Quindlen,1995,Dell
0553581554,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,2000,Bantam Books
0451180232,Nightmares &amp; Dreamscapes,Stephen King,2004,Signet Book
0451137965,Thinner,Stephen King,1985,New Amer Library
0425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group
0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
042510687X,Outbreak,Robin Cook,1991,Berkley Publishing Group
0553580191,Seize the Night,DEAN KOONTZ,1999,Bantam
0451172817,Needful Things,Stephen King,2004,Signet Book
0671886665,A Cry In The Night,Mary Higgins Clark,1993,Pocket
0743211375,From a Buick 8 : A Novel,Stephen King,2002,Scribner
0425130711,Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group
080411868X,"Welcome to the World, Baby Girl!",Fannie Flagg,1999,Ballantine Books
0425145638,Fatal Cure,Robin Cook,1997,Berkley Publishing Group
140003065X,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA
0671011367,Deja Dead,Kathy Reichs,1998,Pocket
0553569910,The Ugly Duckling,Iris Johansen,1997,Bantam Books
0553578685,The Third Victim,LISA GARDNER,2001,Bantam
0743418204,In Her Shoes : A Novel,Jennifer Weiner,2003,Washington Square Press
0060512822,The Poisonwood Bible,Barbara Kingsolver,2003,HarperTorch
0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
0440200563,Fine Things,Danielle Steel,1988,Dell
0671743058,Boy's Life,Robert McCammon,1992,Pocket
0743203631,Gap Creek: The Story Of A Marriage,Robert Morgan,2000,Touchstone
080411109X,The Hundred Secret Senses,Amy Tan,1996,Ivy Books
0553213172,Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics
0515132136,The Jury,Steve Martini,2002,Jove Books
0805059555,"\O\"" Is for Outlaw""",Sue Grafton,1999,Henry Holt &amp; Company
0312974256,Welcome to Temptation,Jennifer Crusie,2001,St. Martin's Paperbacks
0446608815,Pop Goes the Weasel,James Patterson,2000,Warner Vision
0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books
0670880728,Bridget Jones's Diary,Helen Fielding,1998,Viking Books
0385472943,The Runaway Jury,JOHN GRISHAM,1996,Doubleday
0345422317,The Genesis Code,John Case,1998,Ballantine Books
0451142934,Skeleton Crew,Stephen King,1986,New Amer Library
0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
0515130966,Riptide,Catherine Coulter,2001,Jove Books
0425092917,The Accidental Tourist,Anne Tyler,1994,Berkley Publishing Group
0449911519,Secret History : A Novel,DONNA TARTT,1996,Ballantine Books
0451160525,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994,New American Library
1558745157,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,Health Communications
0446675059,The Honk and Holler Opening Soon,Billie Letts,1999,Warner Books
0316781010,Fortune's Rocks: A Novel,Anita Shreve,1999,Back Bay Books
0345404769,Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books
0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group
0671027581,Open Season,Linda Howard,2002,Pocket
1573229725,Fingersmith,Sarah Waters,2002,Riverhead Books
0425136981,Shadowfires,Dean R. Koontz,1994,Berkley Publishing Group
0804115761,Thousand Acres,JANE SMILEY,1996,Ivy Books
0671867091,Remember Me,Mary Higgins Clark,1995,Pocket
0425147517,The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group
0345386108,Winter Moon,Dean R. Koontz,1995,Ballantine Books
0446525537,A Walk to Remember,Nicholas Sparks,1999,Warner Books
0670894605,The Secret Life of Bees,Sue Monk Kidd,2002,Viking Books
0380710722,It's Always Something,Gilda Radner,1990,Avon
0451203771,Scarlet Feather,Maeve Binchy,2002,Signet Book
0515124893,Homeport,Nora Roberts,1999,Jove Books
0786867647,Lucky Man: A Memoir,Michael J. Fox,2002,Hyperion
0515133973,Midnight Bayou,Nora Roberts,2004,Jove Books
0345445848,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002,Ballantine Books
0452281903,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,2000,Plume Books
0440201926,Kaleidoscope,Danielle Steel,1988,Dell
0440176484,Secrets,DANIELLE STEEL,1986,Dell
0670894184,Back Roads,Tawni O'Dell,2000,Viking Books
0440236053,Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company
038542017X,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995,Anchor
0553574574,Beach Music,Pat Conroy,1996,Bantam Books
0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
0425155404,Invasion,Robin Cook,1997,Berkley Publishing Group
0399149155,Q Is for Quarry,Sue Grafton,2002,Putnam Publishing Group
0767905202,Mr. Maybe,Jane Green,2002,Broadway Books
0688170528,The Pact: A Love Story,Jodi Picoult,1999,Quill
0060740450,One Hundred Years of Solitude (Oprah's Book Club),Gabriel Garcia Marquez,2004,Perennial
0449910237,Moo,Jane Smiley,1996,Ballantine Books
0425150143,Tom Clancy's Op-Center: Mirror Image (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
0061096113,Mistaken Identity,Lisa Scottoline,2000,HarperTorch
0345413865,Billy Straight : A Novel,JONATHAN KELLERMAN,1999,Ballantine Books
0446609404,Cradle and All,James Patterson,2001,Warner Vision
0449203794,Space,James A. Michener,1988,Fawcett Books
1573221937,How to Be Good,Nick Hornby,2001,Riverhead Books
0385503954,Atonement: A Novel,Ian McEwan,2002,Nan A. Talese
0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,Tyndale House Publishers
0425146413,Night Prey,John Sandford,2004,Berkley Publishing Group
0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
0679731725,The Remains of the Day (Vintage International),Kazuo Ishiguro,1993,Vintage Books USA
015100692X,The Crimson Petal and the White,Michel Faber,2002,Harcourt
0671741187,Where Are the Children?,Mary Higgins Clark,1992,Pocket
0842329269,Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,Tyndale House Publishers
0312265859,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Press
0812543262,Relic,Douglas Preston,2003,Tor Books
0425151867,Acceptable Risk,Robin Cook,1996,Berkley Publishing Group
0312982518,The Sigma Protocol,Robert Ludlum,2002,St. Martin's Paperbacks
0446609943,The Switch,Sandra Brown,2001,Warner Vision
042518286X,Shock,Robin Cook,2002,Berkley Publishing Group
0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books
0373243286,"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,Silhouette
0446363251,"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,Warner Books
051512219X,Small Town Girl,Lavyrle Spencer,1998,Jove Books
0671525743,Night Whispers,Judith McNaught,1999,Pocket
0553278029,A Great Deliverance,Elizabeth George,1989,Bantam Books
0440223202,Evening Class,Maeve Binchy,1998,Dell Publishing Company
0140042598,On the Road,Jack Kerouac,1991,Penguin Books
0446364800,The General's Daughter,Nelson DeMille,1993,Warner Books
0553265741,Sacred Sins,Nora Roberts,1990,Bantam Books
014100018X,Chocolat,Joanne Harris,2000,Penguin Books
0446356832,The Sands of Time,Sidney Sheldon,1989,Warner Books
0553583441,Touching Evil,Kay Hooper,2001,Bantam Books
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
0316779423,Barrel Fever : Stories and Essays (Barrel Fever),David Sedaris,1995,Back Bay Books
0671776134,Plain Truth,Jodi Picoult,2001,Washington Square Press
0345447867,The Apprentice,Tess Gerritsen,2003,Ballantine Books
0440213290,The Copper Beech,Maeve Binchy,1993,Dell
0515136379,Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books
0515136530,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns
051513628X,Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books
0671693816,Wifey,Judy Blume,1989,Pocket
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
0452282195,The Bluest Eye,Toni Morrison,2000,Plume Books
0446343455,Tourist Season,Carl Hiaasen,1987,Warner Books
0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
0373483503,Macgregor Brides (Macgregors),Nora Roberts,1997,Silhouette
0515122734,Sanctuary,Nora Roberts,2004,Jove Books
0842329250,Soul Harvest: The World Takes Sides (Left Behind No. 4),Tim Lahaye,1999,Tyndale House Publishers
0375500510,Black and Blue : A Novel,ANNA QUINDLEN,1998,Random House
0373484429,Reflections And Dreams,Nora Roberts,2001,Silhouette
0425183971,Reunion in Death,J. D. Robb,2002,Berkley Publishing Group
0425189031,Portrait in Death,Nora Roberts,2003,Berkley Publishing Group
0385720955,The Blind Assassin,Margaret Atwood,2001,Anchor Books/Doubleday
0316777722,Me Talk Pretty One Day,David Sedaris,2000,"Little, Brown"
0679723161,Lolita (Vintage International),VLADIMIR NABOKOV,1989,Vintage
0679744398,"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY,1993,Vintage
0156028778,The Crimson Petal and the White,Michel Faber,2003,Harvest Books
0446667900,A Darkness More Than Night,Michael Connelly,2002,Warner Vision
0446604232,Exclusive,Sandra Brown,1997,Warner Books
0446611085,Suzanne's Diary for Nicholas,James Patterson,2003,Warner Books
0440224594,The Return Journey,MAEVE BINCHY,1999,Dell
0553569155,Seinlanguage,Jerry Seinfeld,1995,Bantam Books
034536676X,The World According to Garp,John Irving,1994,Ballantine Books
0743437802,The Stone Monkey (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2003,Pocket
0515126772,Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,Jove Books
0679735771,American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000,Vintage Books USA
067100042X,Silent Night : A Christmas Suspense Story,Mary Higgins Clark,1996,Pocket
0425140032,Dragon Tears,Dean R. Koontz,1995,Berkley Publishing Group
0312201656,I Capture the Castle,Dodie Smith,1999,St. Martin's Griffin
0449219461,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1993,Fawcett Books
0316678104,Fortune's Rocks : A Novel,Anita Shreve,2001,Back Bay Books
0671741195,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket
0345386132,Eyes of a Child,Richard North Patterson,1996,Ballantine Books
0887307876,"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions",Scott Adams,1996,HarperBusiness
0312978383,Winter Solstice,Rosamunde Pilcher,2001,St. Martin's Paperbacks
0425158632,Executive Orders (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
0425132048,Eyes of Prey,John Sandford,2004,Berkley Publishing Group
0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books
0385315236,The Horse Whisperer,Nicholas Evans,1995,Delacorte Press
0374199698,Middlesex: A Novel,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux"
0345384377,Sole Survivor,DEAN KOONTZ,1997,Ballantine Books
0446602620,Blood Work,Michael Connelly,1998,Warner Books
044900371X,The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,Ballantine Books
0425174271,Certain Prey,John Sandford,2000,Berkley Publishing Group
0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
0425109720,Patriot Games (Jack Ryan Novels),Tom Clancy,1992,Berkley Publishing Group
0440203856,Zoya,Danielle Steel,1989,Dell
0515124214,Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
0373244487,Cordina's Crown Jewel,Nora Roberts,2002,Silhouette
0446350982,Presumed Innocent,Scott Turow,1988,Warner Books
006109921X,Up Island: A Novel,Anne Rivers Siddons,1998,HarperTorch
0345397819,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995,Ballantine Books
0451169514,It,Stephen King,1997,Signet Book
0312971125,Crazy for You,Jennifer Crusie,2000,St. Martin's Press
0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
051511992X,That Camden Summer,Lavyrle Spencer,1997,Jove Books
0446603589,Absolute Power,David Baldacci,1996,Warner Books
0451197747,The Deep End of the Ocean,Jacquelyn Mitchard,1999,Signet Book
067169507X,SEAT OF THE SOUL,Gary Zukav,1990,Free Press
0671014919,My Gal Sunday,Mary Higgins Clark,2003,Pocket
0451207521,Jackdaws,Ken Follett,2002,Signet Book
0425178765,Easy Prey,John Sandford,2001,Berkley Publishing Group
0449223604,M Is for Malice,Sue Grafton,1998,Fawcett Books
0345444884,The Talisman,STEPHEN KING,2001,Ballantine Books
0060008032,Angels,Marian Keyes,2003,HarperTorch
0446608602,Personal Injuries,Scott Turow,2000,Warner Vision
0425172996,Vector,Robin Cook,2000,Berkley Publishing Group
0446604402,The Laws of Our Fathers,Scott Turow,1997,Warner Books
0515135739,Eleventh Hour: An FBI Thriller (FBI Thriller (Jove Paperback)),Catherine Coulter,2004,Jove Books
0743418131,Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket
0440217490,A Dangerous Fortune,Ken Follett,1994,Island
